Avg_A,Probability,Avg_B,Probability
32.986,0.806451613,33.347,0.806451613
32.99,0.808933002,33.365,0.808933002
33.006,0.811414392,33.376,0.811414392
33.014,0.813895782,33.382,0.813895782
33.02,0.816377171,33.392,0.816377171
33.028,0.818858561,33.395,0.818858561
33.034,0.82133995,33.418,0.82133995
33.049,0.82382134,33.424,0.82382134
33.057,0.82630273,33.43,0.82630273
33.064,0.828784119,33.455,0.828784119
33.087,0.831265509,33.461,0.831265509
33.104,0.833746898,33.496,0.833746898
33.148,0.836228288,33.498,0.836228288
33.152,0.838709677,33.504,0.838709677
33.174,0.841191067,33.514,0.841191067
33.188,0.843672457,33.52,0.843672457
33.197,0.846153846,33.555,0.846153846
33.201,0.848635236,33.582,0.848635236
33.205,0.851116625,33.613,0.851116625
33.218,0.853598015,33.615,0.853598015
33.22,0.856079404,33.63,0.856079404
33.247,0.858560794,33.64,0.858560794
33.265,0.861042184,33.667,0.861042184
33.295,0.863523573,33.692,0.863523573
33.308,0.866004963,33.693,0.866004963
33.322,0.868486352,33.696,0.868486352
33.334,0.870967742,33.724,0.870967742
33.336,0.873449132,33.724,0.873449132
33.35,0.875930521,33.725,0.875930521
33.382,0.878411911,33.742,0.878411911
33.392,0.8808933,33.779,0.8808933
33.394,0.88337469,33.782,0.88337469
33.394,0.885856079,33.793,0.885856079
33.412,0.888337469,33.819,0.888337469
33.418,0.890818859,33.82,0.890818859
33.422,0.893300248,33.856,0.893300248
33.423,0.895781638,33.863,0.895781638
33.466,0.898263027,33.865,0.898263027
33.468,0.900744417,33.879,0.900744417
33.479,0.903225806,33.882,0.903225806
33.502,0.905707196,33.883,0.905707196
33.533,0.908188586,33.898,0.908188586
33.559,0.910669975,33.91,0.910669975
33.583,0.913151365,33.922,0.913151365
33.628,0.915632754,33.926,0.915632754
33.646,0.918114144,33.934,0.918114144
33.778,0.920595533,34.077,0.920595533
33.89,0.923076923,34.103,0.923076923
33.948,0.925558313,34.11,0.925558313
33.95,0.928039702,34.152,0.928039702
33.979,0.930521092,34.213,0.930521092
34.031,0.933002481,34.225,0.933002481
34.034,0.935483871,34.227,0.935483871
34.079,0.937965261,34.264,0.937965261
34.122,0.94044665,34.397,0.94044665
34.135,0.94292804,34.436,0.94292804
34.222,0.945409429,34.438,0.945409429
34.293,0.947890819,34.457,0.947890819
34.384,0.950372208,34.486,0.950372208
34.425,0.952853598,34.527,0.952853598
34.446,0.955334988,34.81,0.955334988
34.565,0.957816377,34.862,0.957816377
34.58,0.960297767,34.888,0.960297767
34.658,0.962779156,34.904,0.962779156
34.776,0.965260546,34.935,0.965260546
34.788,0.967741935,35.043,0.967741935
34.9,0.970223325,35.098,0.970223325
35.021,0.972704715,35.224,0.972704715
35.076,0.975186104,35.257,0.975186104
35.193,0.977667494,35.258,0.977667494
35.313,0.980148883,35.783,0.980148883
35.608,0.982630273,35.866,0.982630273
35.718,0.985111663,35.871,0.985111663
35.782,0.987593052,35.881,0.987593052
35.784,0.990074442,35.883,0.990074442
35.906,0.992555831,35.96,0.992555831
36.04,0.995037221,36.032,0.995037221
36.173,0.99751861,36.223,0.99751861
