Avg_a,Probability1,Avg_b,Probability2
238.927,0.928039702,236.848,0.928039702
238.973,0.930521092,236.892,0.930521092
239.135,0.933002481,237.025,0.933002481
240.582,0.935483871,237.29,0.935483871
242.01,0.937965261,237.347,0.937965261
242.102,0.94044665,237.872,0.94044665
242.35,0.94292804,238.331,0.94292804
242.352,0.945409429,238.643,0.945409429
242.544,0.947890819,238.855,0.947890819
243.701,0.950372208,239.143,0.950372208
244.504,0.952853598,239.175,0.952853598
244.746,0.955334988,239.801,0.955334988
244.795,0.957816377,240.181,0.957816377
245.775,0.960297767,240.333,0.960297767
245.998,0.962779156,241.764,0.962779156
246.957,0.965260546,242.929,0.965260546
247.093,0.967741935,243.563,0.967741935
247.094,0.970223325,243.595,0.970223325
248.467,0.972704715,243.595,0.972704715
251.072,0.975186104,244.466,0.975186104
254.355,0.977667494,244.703,0.977667494
256.02,0.980148883,245.024,0.980148883
256.519,0.982630273,247.916,0.982630273
258.378,0.985111663,251.498,0.985111663
258.87,0.987593052,252.078,0.987593052
259.292,0.990074442,258.026,0.990074442
263.08,0.992555831,262.046,0.992555831
263.685,0.995037221,266.07,0.995037221
272.513,0.99751861,268.458,0.99751861
324.667,1,271.48,1
